id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,possibly_sensitive,hashtags,original_author,user_mentions,followers_count,friends_count,place,place_coord_boundaries
1242307774681415682,Tue Mar 24 04:30:29 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",The Government of #Seychelles has allocated a sum of SR 1.2 billion to guarantee the salaries of all private sector… https://t.co/tkpoONduNN,The Government allocated sum SR billion guarantee salaries private sector,"Sentiment(polarity=0.0, subjectivity=0.375)",0.0,0.375,en,7,2,FinanceSC,False,Seychelles,,126,224,,
1241976579133235205,Mon Mar 23 06:34:25 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @StateHouseSey: Cabinet Business- 23 March 2020
https://t.co/CeqoOsPEBI",Cabinet Business- March,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,4,FinanceSC,False,,StateHouseSey,126,224,,
1241976201327058945,Mon Mar 23 06:32:55 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @SeyNewsAgency: Economic slowdown to bring lower fuel prices to Seychelles https://t.co/YLQs3h0e5F,Economic slowdown bring lower fuel prices Seychelles,"Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,en,0,1,FinanceSC,False,,SeyNewsAgency,126,224,,
1241335321402499072,Sat Mar 21 12:06:18 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#Seychelles President @DannyFaure has created two new high-level #COVID19 committees focused on providing financial… https://t.co/WDDVH3HlrZ,President created two new high-level committees focused providing financial,"Sentiment(polarity=0.06818181818181818, subjectivity=0.22727272727272727)",0.06818181818181818,0.2272727272727273,en,1,0,FinanceSC,False,"Seychelles, COVID19",DannyFaure,126,224,,
1241072801454395392,Fri Mar 20 18:43:08 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SeyNewsAgency: Seychelles and COVID-19: New major measures: travel banned for 30 days, schools and daycares closed, salaries assured -…",Seychelles COVID-19 New major measures travel banned days schools daycares closed salaries assured,"Sentiment(polarity=0.03295454545454545, subjectivity=0.35151515151515156)",0.03295454545454545,0.3515151515151516,en,0,6,FinanceSC,,,SeyNewsAgency,126,224,,
1241043740757721088,Fri Mar 20 16:47:39 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#COVID19measures: President @DannyFaure announces Government will present a new Budget for 2020 on 31 March. ""Our p… https://t.co/H2RXVTxGU1",President announces Government present new Budget March `` Our p,"Sentiment(polarity=0.06818181818181818, subjectivity=0.22727272727272727)",0.06818181818181818,0.2272727272727273,en,0,0,FinanceSC,,COVID19measures,DannyFaure,126,224,,
1241043173314564096,Fri Mar 20 16:45:24 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#COVID19measuresSC #PrivateSector 'contributions that employers are required to make toward the Seychelles Pension… https://t.co/gMgcPygB54,'contributions employers required make toward Seychelles Pension,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,FinanceSC,,"COVID19measuresSC, PrivateSector",,126,224,,
1241043046680219649,Fri Mar 20 16:44:54 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#COVID19measuresSC #PrivateSector 'following the decision of Government to maintain the electricity tariff for the… https://t.co/HsXr7G1kyp,'following decision Government maintain electricity tariff,"Sentiment(polarity=0.0, subjectivity=0.1)",0.0,0.1,en,0,0,FinanceSC,,"COVID19measuresSC, PrivateSector",,126,224,,
1241042873065365504,Fri Mar 20 16:44:13 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#COVID19measuresSC #PrivateSector 'interest rates for investment loans in agriculture or fisheries will be reduced to 1%.','interest rates investment loans agriculture fisheries reduced,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,FinanceSC,,"COVID19measuresSC, PrivateSector",,126,224,,
1241042678462197771,Fri Mar 20 16:43:26 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#COVID19measuresSC #PrivateSector 'for the agriculture sector... everything that is produced can be bought (if the… https://t.co/grxHbJM0Pz,'for agriculture sector ... everything produced bought,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,FinanceSC,,"COVID19measuresSC, PrivateSector",,126,224,,
1241042212512837632,Fri Mar 20 16:41:35 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#COVID19measuresSC #BusinessTaxes:
'All tax payments due in March are being postponed to September 2020. CSR, TMT,… https://t.co/k3IHqLlfrk",'All tax payments due March postponed September CSR TMT,"Sentiment(polarity=-0.125, subjectivity=0.375)",-0.125,0.375,en,0,0,FinanceSC,,"COVID19measuresSC, BusinessTaxes",,126,224,,
1241041687067189249,Fri Mar 20 16:39:30 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#COVID19measuresSC #PrivateSector 'For those businesses that find themselves in need of more liquidity, the Ministr… https://t.co/s2x3NkxCXC",'For businesses find need liquidity Ministr,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,FinanceSC,,"COVID19measuresSC, PrivateSector",,126,224,,
